1000 0.093060 10705.992000 10638 10747
1500 0.151702 16961.752000 16891 17037
2000 0.201420 23412.844000 23337 23507
2500 0.274070 30112.694000 30024 30189
3000 0.336508 36920.016000 36814 37013
3500 0.456072 43838.778000 43731 43928
4000 0.463812 50823.216000 50730 50932
4500 0.616436 57990.430000 57884 58138
5000 0.651142 65226.524000 65092 65359
5500 0.732556 72511.448000 72396 72658
6000 0.774238 79835.900000 79690 79997
6500 0.934848 87237.140000 87110 87392
7000 0.968820 94681.652000 94523 94802
7500 0.988714 102150.126000 101991 102311
8000 1.005558 109643.382000 109476 109802
8500 1.076866 117266.512000 117115 117427
9000 1.263822 124978.220000 124834 125144
9500 1.338686 132706.662000 132546 132924
10000 1.330740 140454.530000 140256 140616
