Block number: 131; Target: 80616953;    Solution: 10657902
0: 82;  1: 50;  


Block number: 131; Target: 80616953;    Solution: 10657902
0: 82;  1: 50;  


Block number: 130; Target: 67441042;    Solution: 80616953
0: 81;  1: 50;  


Block number: 130; Target: 67441042;    Solution: 80616953
0: 81;  1: 50;  


Block number: 129; Target: 26361928;    Solution: 67441042
0: 80;  1: 50;  


Block number: 129; Target: 26361928;    Solution: 67441042
0: 80;  1: 50;  


Block number: 128; Target: 64978711;    Solution: 26361928
0: 79;  1: 50;  


Block number: 128; Target: 64978711;    Solution: 26361928
0: 79;  1: 50;  


Block number: 127; Target: 11931457;    Solution: 64978711
0: 78;  1: 50;  


Block number: 127; Target: 11931457;    Solution: 64978711
0: 78;  1: 50;  


Block number: 126; Target: 17729525;    Solution: 11931457
0: 78;  1: 49;  


Block number: 126; Target: 17729525;    Solution: 11931457
0: 78;  1: 49;  


Block number: 125; Target: 78722341;    Solution: 17729525
0: 78;  1: 48;  


Block number: 125; Target: 78722341;    Solution: 17729525
0: 78;  1: 48;  


Block number: 124; Target: 25916244;    Solution: 78722341
0: 77;  1: 48;  


Block number: 124; Target: 25916244;    Solution: 78722341
0: 77;  1: 48;  


Block number: 123; Target: 17311503;    Solution: 25916244
0: 76;  1: 48;  


Block number: 123; Target: 17311503;    Solution: 25916244
0: 76;  1: 48;  


Block number: 122; Target: 86946797;    Solution: 17311503
0: 75;  1: 48;  


Block number: 122; Target: 86946797;    Solution: 17311503
0: 75;  1: 48;  


Block number: 121; Target: 96822215;    Solution: 86946797
0: 75;  1: 47;  


Block number: 121; Target: 96822215;    Solution: 86946797
0: 75;  1: 47;  


Block number: 120; Target: 48569817;    Solution: 96822215
0: 75;  1: 46;  


Block number: 120; Target: 48569817;    Solution: 96822215
0: 75;  1: 46;  


Block number: 119; Target: 11252974;    Solution: 48569817
0: 75;  1: 45;  


Block number: 119; Target: 11252974;    Solution: 48569817
0: 75;  1: 45;  


Block number: 118; Target: 81214856;    Solution: 11252974
0: 74;  1: 45;  


Block number: 118; Target: 81214856;    Solution: 11252974
0: 74;  1: 45;  


Block number: 117; Target: 6339602;    Solution: 81214856
0: 74;  1: 44;  


Block number: 117; Target: 6339602;    Solution: 81214856
0: 74;  1: 44;  


Block number: 116; Target: 92090953;    Solution: 6339602
0: 74;  1: 43;  


Block number: 116; Target: 92090953;    Solution: 6339602
0: 74;  1: 43;  


Block number: 115; Target: 59506219;    Solution: 92090953
0: 73;  1: 43;  


Block number: 115; Target: 59506219;    Solution: 92090953
0: 73;  1: 43;  


Block number: 114; Target: 47936184;    Solution: 59506219
0: 73;  1: 42;  


Block number: 114; Target: 47936184;    Solution: 59506219
0: 73;  1: 42;  


Block number: 113; Target: 69800222;    Solution: 47936184
0: 72;  1: 42;  


Block number: 113; Target: 69800222;    Solution: 47936184
0: 72;  1: 42;  


Block number: 112; Target: 84909098;    Solution: 69800222
0: 72;  1: 41;  


Block number: 112; Target: 84909098;    Solution: 69800222
0: 72;  1: 41;  


Block number: 111; Target: 84855077;    Solution: 84909098
0: 71;  1: 41;  


Block number: 111; Target: 84855077;    Solution: 84909098
0: 71;  1: 41;  


Block number: 110; Target: 77097541;    Solution: 84855077
0: 70;  1: 41;  


Block number: 110; Target: 77097541;    Solution: 84855077
0: 70;  1: 41;  


Block number: 109; Target: 66017523;    Solution: 77097541
0: 70;  1: 40;  


Block number: 109; Target: 66017523;    Solution: 77097541
0: 70;  1: 40;  


Block number: 109; Target: 66017523;    Solution: 77097541
0: 70;  1: 40;  


Block number: 108; Target: 78898470;    Solution: 66017523
0: 69;  1: 40;  


Block number: 108; Target: 78898470;    Solution: 66017523
0: 69;  1: 40;  


Block number: 107; Target: 64277448;    Solution: 78898470
0: 69;  1: 39;  


Block number: 107; Target: 64277448;    Solution: 78898470
0: 69;  1: 39;  


Block number: 106; Target: 57947678;    Solution: 64277448
0: 69;  1: 38;  


Block number: 106; Target: 57947678;    Solution: 64277448
0: 69;  1: 38;  


Block number: 105; Target: 69623175;    Solution: 57947678
0: 68;  1: 38;  


Block number: 105; Target: 69623175;    Solution: 57947678
0: 68;  1: 38;  


Block number: 104; Target: 83156478;    Solution: 69623175
0: 67;  1: 38;  


Block number: 104; Target: 83156478;    Solution: 69623175
0: 67;  1: 38;  


Block number: 103; Target: 33257278;    Solution: 83156478
0: 66;  1: 38;  


Block number: 103; Target: 33257278;    Solution: 83156478
0: 66;  1: 38;  


Block number: 102; Target: 85366099;    Solution: 33257278
0: 66;  1: 37;  


Block number: 102; Target: 85366099;    Solution: 33257278
0: 66;  1: 37;  


Block number: 101; Target: 35891637;    Solution: 85366099
0: 66;  1: 36;  


Block number: 101; Target: 35891637;    Solution: 85366099
0: 66;  1: 36;  


Block number: 100; Target: 73600785;    Solution: 35891637
0: 66;  1: 35;  


Block number: 100; Target: 73600785;    Solution: 35891637
0: 66;  1: 35;  


Block number: 99; Target: 56507686;    Solution: 73600785
0: 65;  1: 35;  


Block number: 99; Target: 56507686;    Solution: 73600785
0: 65;  1: 35;  


Block number: 98; Target: 1320771;    Solution: 56507686
0: 64;  1: 35;  


Block number: 98; Target: 1320771;    Solution: 56507686
0: 64;  1: 35;  


Block number: 97; Target: 74639448;    Solution: 1320771
0: 63;  1: 35;  


Block number: 97; Target: 74639448;    Solution: 1320771
0: 63;  1: 35;  


Block number: 96; Target: 5672223;    Solution: 74639448
0: 63;  1: 34;  


Block number: 96; Target: 5672223;    Solution: 74639448
0: 63;  1: 34;  


Block number: 95; Target: 56982512;    Solution: 5672223
0: 63;  1: 33;  


Block number: 95; Target: 56982512;    Solution: 5672223
0: 63;  1: 33;  


Block number: 94; Target: 26034022;    Solution: 56982512
0: 62;  1: 33;  


Block number: 94; Target: 26034022;    Solution: 56982512
0: 62;  1: 33;  


Block number: 93; Target: 10354896;    Solution: 26034022
0: 61;  1: 33;  


Block number: 93; Target: 10354896;    Solution: 26034022
0: 61;  1: 33;  


Block number: 92; Target: 6195135;    Solution: 10354896
0: 61;  1: 32;  


Block number: 92; Target: 6195135;    Solution: 10354896
0: 61;  1: 32;  


Block number: 91; Target: 69494081;    Solution: 6195135
0: 60;  1: 32;  


Block number: 91; Target: 69494081;    Solution: 6195135
0: 60;  1: 32;  


Block number: 90; Target: 22437531;    Solution: 69494081
0: 60;  1: 31;  


Block number: 90; Target: 22437531;    Solution: 69494081
0: 60;  1: 31;  


Block number: 89; Target: 61891823;    Solution: 22437531
0: 59;  1: 31;  


Block number: 89; Target: 61891823;    Solution: 22437531
0: 59;  1: 31;  


Block number: 88; Target: 78196679;    Solution: 61891823
0: 59;  1: 30;  


Block number: 88; Target: 78196679;    Solution: 61891823
0: 59;  1: 30;  


Block number: 87; Target: 65991633;    Solution: 78196679
0: 58;  1: 30;  


Block number: 87; Target: 65991633;    Solution: 78196679
0: 58;  1: 30;  


Block number: 86; Target: 65628990;    Solution: 65991633
0: 58;  1: 29;  


Block number: 86; Target: 65628990;    Solution: 65991633
0: 58;  1: 29;  


Block number: 85; Target: 48588205;    Solution: 65628990
0: 58;  1: 28;  


Block number: 85; Target: 48588205;    Solution: 65628990
